symbol,logFC,padj
EHF,3.370582,0.0007535836566157247
HIST1H2BJ,1.5751916,0.0007535836566157247
ARID4A,0.5078376,0.0007535836566157247
SAR1B,0.32856226,0.0007535836566157247
TM7SF3,0.6230294,0.0007535836566157247
H2BFS,1.6490662,0.0007535836566157247
HNRNPA3P3,-1.0329034,0.0007535836566157247
PPP1CA,-0.65720147,0.0007535836566157247
MPPE1,0.7844252,0.0007535836566157247
ARMCX3,0.6066616,0.0007535836566157247
HAGH,0.97015387,0.0007535836566157247
LINC00657,0.6056726,0.0007535836566157247
KCTD7,0.5290865,0.0007535836566157247
NCSTN,0.695649,0.0007535836566157247
MGST2,0.9321376,0.0007535836566157247
PION,1.1234515,0.0007535836566157247
TMEM248,0.44256723,0.0007535836566157247
TSTD3,0.80841196,0.0007535836566157247
ZNF517,0.93135506,0.0007535836566157247
PGPEP1,0.9362739,0.0007535836566157247
RP11-264F23.4,3.1381135,0.0007535836566157247
CTB-55O6.8,1.444606,0.0007535836566157247
PTPRK,1.2352955,0.0007535836566157247
AKTIP,0.4807642,0.0007535836566157247
FAM8A1,0.5997547,0.0007535836566157247
AC104653.1,1.4001017,0.0007535836566157247
RP11-154P18.2,3.4910626,0.0007535836566157247
CTD-2562J17.7,1.8179731,0.0007535836566157247
NDFIP1,0.67260617,0.0007535836566157247
HIST2H4A,1.5424693,0.0007535836566157247
TM9SF3,0.36362994,0.0007535836566157247
C5orf15,0.6215474,0.0007535836566157247
TMEM245,0.66623867,0.0007535836566157247
OVGP1,1.5475308,0.0007535836566157247
TMCO1,0.5156294,0.0007535836566157247
CAV2,0.61736566,0.0007535836566157247
AP001372.2,0.8172578,0.0007535836566157247
ZNF547,1.0279604,0.0007535836566157247
WDR63,1.5520065,0.0007535836566157247
PLD1,1.1204718,0.0007535836566157247
AP000322.54,1.2710611,0.0007535836566157247
PDE11A,3.488802,0.0007535836566157247
TIGD6,0.32765585,0.0007535836566157247
KB-1460A1.5,1.6978006,0.0007535836566157247
PCMTD1,0.8868706,0.0007535836566157247
AC017099.3,1.2661113,0.0007535836566157247
GNPTG,0.736018,0.0007535836566157247
SYNGR1,1.034376,0.0007535836566157247
ALDH3A1,3.8789647,0.0007535836566157247
TRIM23,0.4453702,0.0007535836566157247
LINC00328-2P,3.6208823,0.0007535836566157247
GTDC1,0.45126814,0.0007535836566157247
TMEM178B,5.5714526,0.0007535836566157247
TRAM1,0.80700636,0.0007535836566157247
NAT8L,2.4167802,0.0007535836566157247
WDR52,0.9449643,0.0007535836566157247
SNORD12C,-2.3431954,0.0007535836566157247
DNAJB14,0.44140443,0.0007535836566157247
ATP6AP2,0.65006465,0.0007535836566157247
ATP7B,0.7350841,0.0007535836566157247
BFSP1,1.5217303,0.0007535836566157247
RNF141,0.7079775,0.0007535836566157247
KIAA0232,0.38251948,0.0007535836566157247
ASAH1,1.577692,0.0007535836566157247
ACVR1C,2.7498143,0.0007535836566157247
TMBIM6,0.32592428,0.0007535836566157247
SERINC1,0.9833959,0.0007535836566157247
RNF20,0.46143514,0.0007535836566157247
CST3,1.0280855,0.0007535836566157247
HIST1H2AC,2.0489178,0.0007535836566157247
POMGNT1,0.52012235,0.0007535836566157247
RCAN1,1.0127842,0.0007535836566157247
FBXO6,0.71091586,0.0007535836566157247
NAPB,0.53446144,0.0007535836566157247
CCDC87,1.6297288,0.0007535836566157247
SDC2,0.89383626,0.0007535836566157247
C20orf194,0.5123018,0.0007535836566157247
GNAI1,0.5296312,0.0007535836566157247
TSPAN31,0.6564568,0.0007535836566157247
HIST4H4,0.82869065,0.0007535836566157247
RP11-37E23.5,2.1406095,0.0007535836566157247
LEPROT,0.9791893,0.0007535836566157247
N4BP2L1,2.0466611,0.0007535836566157247
ZNF610,0.98505527,0.0007535836566157247
RP11-151N17.2,0.5002813,0.0007535836566157247
ZNF563,0.7653517,0.0007535836566157247
RP11-439A17.9,2.4870532,0.0007535836566157247
JAG2,1.9270674,0.0007535836566157247
RP11-241F15.1,7.779238,0.0007535836566157247
RP11-792D21.2,1.4029878,0.0007535836566157247
PTPRM,0.9115253,0.0007535836566157247
TM9SF2,0.43840685,0.0007535836566157247
PRNP,1.325056,0.0007535836566157247
TMEM217,1.3363354,0.0007535836566157247
CYP3A7,2.4496963,0.0007535836566157247
YPEL2,1.5064337,0.0007535836566157247
TTC3P1,0.2395591,0.0007535836566157247
SLC17A5,0.9251591,0.0007535836566157247
ZNF554,0.59069115,0.0007535836566157247
NPC2,0.96186316,0.0007535836566157247
HIST1H3E,1.3571721,0.0007535836566157247
ZNF132,0.55033296,0.0007535836566157247
SLC25A4,0.59782696,0.0007535836566157247
RDH14,0.44819623,0.0007535836566157247
RP11-1281K21.5,6.365551,0.0007535836566157247
FBXO2,3.3042765,0.0007535836566157247
CNGA1,2.3564615,0.0007535836566157247
PFKFB2,1.1855236,0.0007535836566157247
TMEM59,0.9815333,0.0007535836566157247
HMGN5,0.74011797,0.0007535836566157247
FAM45A,0.59384453,0.0007535836566157247
MAP1LC3B2,0.55818665,0.0007535836566157247
KLHL24,1.0420297,0.0007535836566157247
KLHDC1,1.0497466,0.0007535836566157247
RP11-206L10.11,0.5170723,0.0007535836566157247
GPD1L,0.61876553,0.0007535836566157247
MAP1LC3B,0.63570654,0.0007535836566157247
LAPTM4A,0.5524242,0.0007535836566157247
TSGA10,1.1727308,0.0007535836566157247
GDE1,0.86812115,0.0007535836566157247
TTC18,1.9737172,0.0007535836566157247
MT-ND4,0.7760776,0.0007535836566157247
ATP6V0E1,0.621505,0.0007535836566157247
SHC2,2.3600237,0.0007535836566157247
CYB5A,0.6770927,0.0007535836566157247
C19orf12,0.3376629,0.0007535836566157247
RP11-420A23.1,1.5932865,0.0007535836566157247
ZNF219,1.801909,0.0007535836566157247
PAM,1.3032334,0.0007535836566157247
FAM172A,0.574418,0.0007535836566157247
BCL2L2,0.46146172,0.0007535836566157247
LRP2,7.880601,0.0007535836566157247
PCBP1-AS1,0.5836137,0.0007535836566157247
HBP1,0.5676464,0.0007535836566157247
PLCH1,4.711722,0.0007535836566157247
MFSD11,0.78238213,0.0007535836566157247
RP11-545I5.3,1.6654001,0.0007535836566157247
SLC35F5,0.91183984,0.0007535836566157247
AC007246.3,1.1208035,0.0007535836566157247
GNRHR2,0.48680848,0.0007535836566157247
RABL2A,0.5778713,0.0007535836566157247
EIF4EBP2,0.36807725,0.0007535836566157247
DCDC2,2.6520903,0.0007535836566157247
MT-ND4L,0.75061727,0.0007535836566157247
ZCWPW1,1.0821636,0.0007535836566157247
ABCA3,2.289811,0.0007535836566157247
CTSO,1.2257906,0.0007535836566157247
HIST1H2BC,2.121602,0.0007535836566157247
DPP4,1.5048523,0.0007535836566157247
TNS3,0.8924677,0.0007535836566157247
ZCWPW2,1.0040532,0.0007535836566157247
AC009237.17,2.0091727,0.0007535836566157247
C5orf62,0.7753695,0.0007535836566157247
ALS2CL,1.2680432,0.0007535836566157247
ZNF451,0.17100601,0.0007535836566157247
LINC00640,2.0635757,0.0007535836566157247
DHRS12,0.93477434,0.0007535836566157247
ABCA7,2.1748443,0.0007535836566157247
GNPTAB,1.142919,0.0007535836566157247
SRPX2,0.88454723,0.0007535836566157247
SH3GLB2,0.37647924,0.0007535836566157247
