symbol,logFC,pval,padj
RRM1,-0.3809184432029724,2.772889112212344e-17,9.14914762574463e-13
CSRP1,-0.33735036849975586,3.9828806330998066e-17,6.570757324456406e-13
L1CAM,0.13426238298416138,7.4926978477807e-17,8.24071884958414e-13
ENPP2,-0.17265692353248596,1.5743343127971395e-16,1.2986290162685405e-12
DLGAP5,-0.3490487337112427,2.986832658318948e-16,1.971010871224674e-12
NUSAP1,-0.3725075125694275,3.707842893163515e-16,2.0390046043321698e-12
KIF4A,-0.2787107229232788,4.529633058109809e-16,2.1350748964619023e-12
CKS2,-0.2424296736717224,5.013827330474784e-16,2.067890409612694e-12
NASP,-0.3748950958251953,5.897702427220475e-16,2.1621632398459953e-12
NDC80,-0.19812092185020447,6.524610122987599e-16,2.1527951100797583e-12
TGOLN2,0.3141188621520996,6.727511255497477e-16,2.0179475806830843e-12
BGN,-0.8764675855636597,9.218142869252295e-16,2.5346051997581623e-12
CTSK,0.6267178654670715,9.755943880414707e-16,2.4761336025714096e-12
KIF22,-0.24989420175552368,1.1819591514409536e-15,2.7856244429853046e-12
KIF20A,-0.48078370094299316,1.3425125039403448e-15,2.9530800045007787e-12
SDC1,-0.32089048624038696,1.6082743287883528e-15,3.3165632173982316e-12
RAD51AP1,-0.12715619802474976,1.640325770780989e-15,3.183679341583455e-12
CIT,-0.2976224422454834,2.012776077743109e-15,3.6895303713963264e-12
HNRNPA3,-0.3838767409324646,2.7925297568618676e-15,4.8494483856661745e-12
SEMA5A,0.4573312997817993,2.9369088912632653e-15,4.845165443361572e-12
NIPAL3,0.6237832307815552,3.201740591316161e-15,5.030544324308416e-12
RCC1,-0.2201049029827118,3.24720365492767e-15,4.87006748156084e-12
NCAPG2,-0.3406803011894226,3.4638200559206685e-15,4.969075771526193e-12
TUBA1B,-0.6405500769615173,3.869852247870289e-15,5.320240621603341e-12
TCF12,-0.3237333297729492,3.94729433583406e-15,5.209639064433793e-12
TMED4,0.10435450077056885,4.2134019686345084e-15,5.346969152119062e-12
ACTL6A,-0.12830236554145813,5.168361986339812e-15,6.31592976812156e-12
SPAG5,-0.34964805841445923,6.117337593821963e-15,7.208626925291273e-12
PSAP,0.5288255214691162,6.1398323049776214e-15,6.985647134577125e-12
DNMT1,-0.43236297369003296,6.197358730794087e-15,6.816061710751697e-12
DAG1,0.40449047088623047,6.988756183793913e-15,7.43851646078323e-12
BUB1B,-0.29539036750793457,7.205818552269963e-15,7.429874472879608e-12
KCNK2,-0.1733182966709137,7.368874110360341e-15,7.367757614283014e-12
MTHFD1,-0.2222929298877716,8.59459741541348e-15,8.340551227104933e-12
NCSTN,0.33237743377685547,9.23834821781052e-15,8.70912284133309e-12
CALM3,-0.4855234622955322,9.339759258914725e-15,8.560148798552537e-12
CDC6,-0.17911997437477112,1.1725224819712475e-14,1.0456048457470626e-11
AMIGO1,0.13528677821159363,1.2186480016334043e-14,1.0581392319445835e-11
TPM4,-0.5513002872467041,1.3007155926474827e-14,1.1004387430616331e-11
BIRC5,-0.3637744188308716,1.3614252661866145e-14,1.1230056664456836e-11
EML4,-0.260132759809494,1.398714273104743e-14,1.1256238400266095e-11
HMGB2,-0.4670138955116272,1.515562724367691e-14,1.1906188592979039e-11
SMS,-0.3973580598831177,1.5326644472972014e-14,1.1760526381063059e-11
MCM7,-0.4650222063064575,1.6261363527947807e-14,1.2194174763741772e-11
ERMP1,0.3455657958984375,1.8182150370588967e-14,1.3331556699501843e-11
HNRNPUL1,-0.251858115196228,1.8350223161670122e-14,1.3162295939550123e-11
PTPRK,0.5250896215438843,2.0408856154765342e-14,1.4327451251627287e-11
TMPO,-0.43032509088516235,2.441596885231605e-14,1.67834352558785e-11
SPOCD1,-0.24102959036827087,2.460389898929702e-14,1.6567462186772554e-11
NCAPH,-0.17831796407699585,2.474418249556064e-14,1.6328686028820466e-11
CCNB1,-0.5202269554138184,2.511468725084362e-14,1.624821776159971e-11
TRA2B,-0.3625293970108032,2.6967717696403417e-14,1.7111535488323668e-11
NUF2,-0.21490615606307983,2.7914619073720045e-14,1.7378167100705528e-11
SLFN11,-0.30294370651245117,2.908296900548054e-14,1.777023263584871e-11
MELK,-0.25290369987487793,3.002436629881679e-14,1.801189029144473e-11
CCNB2,-0.2928408086299896,3.053509646517034e-14,1.7991169783362413e-11
H2AFZ,-0.5504268407821655,3.067343685402515e-14,1.7755614894711573e-11
PAM,0.7422147989273071,3.147289715933029e-14,1.7904280030553496e-11
UBE2C,-0.23839496076107025,3.1615804588093287e-14,1.7680736820070135e-11
STEAP1B,-0.04235255718231201,3.299467855184398e-14,1.8144323646968203e-11
EIF4EBP1,-0.19898927211761475,3.415261278795858e-14,1.8473204244896614e-11
ENO1,-0.5584244728088379,3.647418596865838e-14,1.9410738161869084e-11
LBH,-0.05566883087158203,3.6771603456713665e-14,1.92583977151471e-11
STMN1,-0.5914011001586914,3.7606532452963796e-14,1.938793028571157e-11
PRRX1,-0.35312288999557495,3.7830825909218346e-14,1.9203509244225527e-11
CEP55,-0.3819963335990906,3.8570005690935965e-14,1.928208087533988e-11
