method,held_out_group,culture_dimension,n_cells,accuracy,true_senescent_rate,predicted_senescent_rate,mean_senescence_score
dummy_majority,GSM8642880,2D,1187,1.0,0.0,0.0,0.37142857142857144
dummy_majority,GSM8642881,3D,554,1.0,0.0,0.0,0.37142857142857144
dummy_majority,GSM8642882,2D,1060,0.0,1.0,0.0,0.37142857142857144
dummy_majority,GSM8642883,3D,296,0.0,1.0,0.0,0.37142857142857144
geneformer_v1,GSM8642880,2D,1187,0.03201347935973041,0.0,0.9679865206402696,0.9680013132775828
geneformer_v1,GSM8642881,3D,554,0.13537906137184116,0.0,0.8646209386281588,0.8641288539288671
geneformer_v1,GSM8642882,2D,1060,0.8839622641509434,1.0,0.8839622641509434,0.8835494060239278
geneformer_v1,GSM8642883,3D,296,0.8648648648648649,1.0,0.8648648648648649,0.8632684213332903
linear_svm_top,GSM8642880,2D,1187,0.18449873631002528,0.0,0.8155012636899748,0.2583356296203552
linear_svm_top,GSM8642881,3D,554,0.14259927797833935,0.0,0.8574007220216606,0.37963104933874475
linear_svm_top,GSM8642882,2D,1060,0.8254716981132075,1.0,0.8254716981132075,0.268224638298476
linear_svm_top,GSM8642883,3D,296,0.8817567567567568,1.0,0.8817567567567568,0.537303771621288
logistic_top,GSM8642880,2D,1187,0.2325189553496209,0.0,0.7674810446503791,0.6442332812271095
logistic_top,GSM8642881,3D,554,0.14620938628158844,0.0,0.8537906137184116,0.7410415778508568
logistic_top,GSM8642882,2D,1060,0.7849056603773585,1.0,0.7849056603773585,0.6489905056822606
logistic_top,GSM8642883,3D,296,0.875,1.0,0.875,0.7778684515136332
nearest_centroid_top,GSM8642880,2D,1187,0.03622577927548441,0.0,0.9637742207245156,0.9646892182204927
nearest_centroid_top,GSM8642881,3D,554,0.12454873646209386,0.0,0.8754512635379061,0.8785308617260947
nearest_centroid_top,GSM8642882,2D,1060,0.9037735849056604,1.0,0.9037735849056604,0.9040782814223003
nearest_centroid_top,GSM8642883,3D,296,0.8851351351351351,1.0,0.8851351351351351,0.8874380044922876
