rank,ensembl_id,gene_symbol,absolute_welch_t
1,ENSG00000125505,MBOAT7,35.02633604610338
2,ENSG00000185825,BCAP31,26.794590950502037
3,ENSG00000244242,IFITM10,24.913768962278763
4,ENSG00000178531,CTXN1,24.534880699021706
5,ENSG00000156140,ADAMTS3,24.39339459398564
6,ENSG00000159346,ADIPOR1,23.792652283597437
7,ENSG00000125247,TMTC4,22.693704018852426
8,ENSG00000082458,DLG3,22.034633552895475
9,ENSG00000165915,SLC39A13,21.6775766193547
10,ENSG00000059691,GATB,21.60478795564861
11,ENSG00000091622,PITPNM3,21.402428199992336
12,ENSG00000113645,WWC1,20.64583329064027
13,ENSG00000178409,BEND3,20.61086730440984
14,ENSG00000048342,CC2D2A,20.235283309112926
15,ENSG00000071553,ATP6AP1,19.804233093973973
16,ENSG00000177576,C18orf32,19.737987444001675
17,ENSG00000267100,ILF3-DT,19.629789888569317
18,ENSG00000135972,MRPS9,19.499991213905123
19,ENSG00000215262,KCNU1,19.336467038272755
20,ENSG00000184428,TOP1MT,19.332308113205695
21,ENSG00000105649,RAB3A,19.19534295015842
22,ENSG00000170364,SETMAR,18.95409159974728
23,ENSG00000170385,SLC30A1,18.89930658748146
24,ENSG00000121410,A1BG,18.61602091683419
25,ENSG00000103512,NOMO1,18.589575993356622
26,ENSG00000188549,CCDC9B,18.470406445490383
27,ENSG00000167702,KIFC2,17.84190381832435
28,ENSG00000135314,KHDC1,17.45940420121183
29,ENSG00000116774,OLFML3,17.181599146580403
30,ENSG00000026103,FAS,17.148446647366608
31,ENSG00000116209,TMEM59,17.02302345927487
32,ENSG00000112365,ZBTB24,16.548800439469836
33,ENSG00000120158,RCL1,16.438738929470443
34,ENSG00000048028,USP28,16.30442899617551
35,ENSG00000125848,FLRT3,16.26347226878381
36,ENSG00000185883,ATP6V0C,16.19583419683171
37,ENSG00000150687,PRSS23,16.11635022348598
38,ENSG00000080573,COL5A3,16.09439771220423
39,ENSG00000049656,CLPTM1L,16.073055364058213
40,ENSG00000132330,SCLY,16.047469806648575
41,ENSG00000127415,IDUA,15.931014290951573
42,ENSG00000138613,APH1B,15.798876502307657
43,ENSG00000078808,SDF4,15.726258643472427
44,ENSG00000105568,PPP2R1A,15.342964899672127
45,ENSG00000164904,ALDH7A1,15.274016854737008
46,ENSG00000198885,ITPRIPL1,15.094003280738072
47,ENSG00000165868,HSPA12A,15.088457465921241
48,ENSG00000189241,TSPYL1,15.051349207805663
49,ENSG00000177556,ATOX1,15.02268485518667
50,ENSG00000019549,SNAI2,14.766641258930836
51,ENSG00000125845,BMP2,14.701474227251204
52,ENSG00000196943,NOP9,14.578466848865917
53,ENSG00000162430,SELENON,14.460412251712357
54,ENSG00000213160,KLHL23,14.440590001602152
55,ENSG00000088930,XRN2,14.398860505476074
56,ENSG00000101439,CST3,14.262634316373985
57,ENSG00000130347,RTN4IP1,14.262240899780869
58,ENSG00000029534,ANK1,14.20565733761098
59,ENSG00000107331,ABCA2,14.044664314730378
60,ENSG00000035862,TIMP2,14.041651951239123
61,ENSG00000101247,NDUFAF5,14.03354131199759
62,ENSG00000172037,LAMB2,13.886027012873802
63,ENSG00000120053,GOT1,13.745236531684233
64,ENSG00000149257,SERPINH1,13.7435970899209
65,ENSG00000100220,RTCB,13.731293547090344
66,ENSG00000018869,ZNF582,13.632590020176067
67,ENSG00000126822,PLEKHG3,13.586966256404287
68,ENSG00000119927,GPAM,13.553068685720785
69,ENSG00000107185,RGP1,13.550416766753425
70,ENSG00000179029,TMEM107,13.520892854114644
71,ENSG00000167972,ABCA3,13.489746245694972
72,ENSG00000153885,KCTD15,13.44613932595169
73,ENSG00000169744,LDB2,13.429221023764413
74,ENSG00000100802,C14orf93,13.425596445399535
75,ENSG00000139146,SINHCAF,13.399185183883153
76,ENSG00000204673,AKT1S1,13.355566933221574
77,ENSG00000160972,PPP1R16A,13.348826993470993
78,ENSG00000175315,CST6,13.33953444810028
79,ENSG00000157379,DHRS1,13.26772895065153
80,ENSG00000204520,MICA,13.265985899907696
81,ENSG00000101158,NELFCD,13.25748061352085
82,ENSG00000172878,METAP1D,13.255958114563027
83,ENSG00000171453,POLR1C,13.24986070579602
84,ENSG00000127083,OMD,13.177653265233788
85,ENSG00000048392,RRM2B,13.144873449030417
86,ENSG00000072756,TRNT1,13.137080241105743
87,ENSG00000124383,MPHOSPH10,13.073574223393663
88,ENSG00000023445,BIRC3,13.050881402313415
89,ENSG00000130414,NDUFA10,13.04580768363436
90,ENSG00000188295,ZNF669,13.033900139086109
91,ENSG00000182749,PAQR7,13.001313705581103
92,ENSG00000140612,SEC11A,12.99144456413125
93,ENSG00000118707,TGIF2,12.970806699299727
94,ENSG00000131446,MGAT1,12.944041873420213
95,ENSG00000069812,HES2,12.922823589570934
96,ENSG00000184005,ST6GALNAC3,12.907206718836813
97,ENSG00000177352,CCDC71,12.894354998997805
98,ENSG00000197296,FITM2,12.775585374525322
99,ENSG00000076344,RGS11,12.756991539564469
100,ENSG00000172893,DHCR7,12.743109161895104
