method,held_out_group,n_train,n_test,n_features,accuracy,balanced_accuracy,auroc,macro_f1,mcc
dummy_majority,BJ,24,6,1,0.5,0.5,0.5,0.3333333333333333,0.0
nearest_centroid_top,BJ,24,6,100,1.0,1.0,1.0,1.0,1.0
linear_svm_top,BJ,24,6,100,0.5,0.5,1.0,0.3333333333333333,0.0
logistic_top,BJ,24,6,100,0.5,0.5,1.0,0.3333333333333333,0.0
logistic_all,BJ,24,6,32995,1.0,1.0,1.0,1.0,1.0
dummy_majority,HFF,24,6,1,0.5,0.5,0.5,0.3333333333333333,0.0
nearest_centroid_top,HFF,24,6,100,1.0,1.0,1.0,1.0,1.0
linear_svm_top,HFF,24,6,100,1.0,1.0,1.0,1.0,1.0
logistic_top,HFF,24,6,100,1.0,1.0,1.0,1.0,1.0
logistic_all,HFF,24,6,32995,1.0,1.0,1.0,1.0,1.0
dummy_majority,IMR90,24,6,1,0.5,0.5,0.5,0.3333333333333333,0.0
nearest_centroid_top,IMR90,24,6,100,0.8333333333333334,0.8333333333333333,0.8333333333333333,0.8285714285714285,0.7071067811865476
linear_svm_top,IMR90,24,6,100,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8285714285714285,0.7071067811865476
logistic_top,IMR90,24,6,100,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8285714285714285,0.7071067811865476
logistic_all,IMR90,24,6,32995,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8285714285714285,0.7071067811865476
dummy_majority,MRC5,24,6,1,0.5,0.5,0.5,0.3333333333333333,0.0
nearest_centroid_top,MRC5,24,6,100,0.8333333333333334,0.8333333333333333,0.8333333333333334,0.8285714285714285,0.7071067811865476
linear_svm_top,MRC5,24,6,100,1.0,1.0,1.0,1.0,1.0
logistic_top,MRC5,24,6,100,0.5,0.5,1.0,0.3333333333333333,0.0
logistic_all,MRC5,24,6,32995,1.0,1.0,1.0,1.0,1.0
dummy_majority,WI38,24,6,1,0.5,0.5,0.5,0.3333333333333333,0.0
nearest_centroid_top,WI38,24,6,100,1.0,1.0,1.0,1.0,1.0
linear_svm_top,WI38,24,6,100,1.0,1.0,1.0,1.0,1.0
logistic_top,WI38,24,6,100,1.0,1.0,1.0,1.0,1.0
logistic_all,WI38,24,6,32995,1.0,1.0,1.0,1.0,1.0
