Term,NES,NOM p-val,FDR q-val
Interferon Alpha Response,1.5899188227897436,0.0,0.021813932350840746
Coagulation,1.5680475177241775,0.0,0.018178276959033957
IL-6/JAK/STAT3 Signaling,1.5439143053925783,0.0031545741324921135,0.021207989785539613
KRAS Signaling Dn,1.479797554791618,0.0033444816053511705,0.0418100370057781
p53 Pathway,1.446289940855088,0.0,0.05344413425955982
Interferon Gamma Response,1.3997769836991274,0.006756756756756757,0.07877253348914715
Pancreas Beta Cells,1.3997307325367208,0.04935064935064935,0.06751931441926898
Protein Secretion,1.360463228479023,0.012345679012345678,0.09339089787703694
Bile Acid Metabolism,1.3400352600307937,0.035398230088495575,0.10422212123179465
heme Metabolism,1.3307056396515995,0.0035460992907801418,0.10198013374018049
Apoptosis,1.2894097516851144,0.041666666666666664,0.13385822124379548
Notch Signaling,1.2805966140142147,0.14910025706940874,0.13482222077950184
Apical Surface,1.1692872714261702,0.20558375634517767,0.3056747187111402
KRAS Signaling Up,1.154565965896376,0.13909774436090225,0.31370512237875736
Adipogenesis,1.1198387456387653,0.17374517374517376,0.37204873509489494
Xenobiotic Metabolism,1.1082110399348497,0.1918819188191882,0.38276634421865874
Estrogen Response Early,1.1077021891534748,0.1794871794871795,0.3614269183619693
Reactive Oxygen Species Pathway,1.0531639767688938,0.36752136752136755,0.48505702352355595
Complement,1.044652107091937,0.29927007299270075,0.4843075682454204
IL-2/STAT5 Signaling,0.9973391935185035,0.43820224719101125,0.6073362332013243
UV Response Up,0.9876960313396463,0.4452296819787986,0.6111363587179987
Inflammatory Response,0.9784840381780219,0.44966442953020136,0.6119469052663885
TNF-alpha Signaling via NF-kB,0.9713497539720626,0.5354609929078015,0.6073125224052909
Angiogenesis,0.9371918355277213,0.5324675324675324,0.7013785193360601
Hedgehog Signaling,0.9285130452292881,0.5595854922279793,0.7034993183146141
Cholesterol Homeostasis,0.9284174865420886,0.5777126099706745,0.6765115686754328
Wnt-beta Catenin Signaling,0.9177244442286854,0.5862068965517241,0.6857250030657809
Pperoxisome,0.8683072920048396,0.8381877022653722,0.8186716873336363
Androgen Response,-0.8463465196991683,0.7757847533632287,0.8019481457929878
UV Response Dn,-0.8673279619703461,0.7660485021398002,0.7907181602588718
Allograft Rejection,-0.8906628729695384,0.7059679767103348,0.7704800994305865
Estrogen Response Late,-0.8990799268525986,0.7172131147540983,0.7902145455264603
Myogenesis,-0.9026075963159552,0.6954177897574124,0.8246122817328413
Fatty Acid Metabolism,-1.0312880354974048,0.39943342776203966,0.5136895582581965
Hypoxia,-1.0793845774234743,0.28609986504723345,0.42211391161083334
TGF-beta Signaling,-1.0861619574969212,0.35331230283911674,0.43325529188465284
Apical Junction,-1.1203177480834143,0.2198100407055631,0.3769938764302438
PI3K/AKT/mTOR  Signaling,-1.1589182094827464,0.18459302325581395,0.3108050720271433
DNA Repair,-1.1801679272087116,0.15902578796561603,0.28874854274455397
Glycolysis,-1.2301130286567987,0.07736389684813753,0.20608723299708068
Oxidative Phosphorylation,-1.2342342237987898,0.0814419225634179,0.21874729022747638
Epithelial Mesenchymal Transition,-1.3533624429147864,0.016643550624133148,0.06662748536321389
Spermatogenesis,-1.4075466642307615,0.0258751902587519,0.036325403936757525
Unfolded Protein Response,-1.415511505528706,0.02457757296466974,0.0360642334801944
mTORC1 Signaling,-1.4362771257508793,0.0027739251040221915,0.030204931063386998
Mitotic Spindle,-1.6227891959165588,0.0,0.0002543573142179958
Myc Targets V2,-1.639323364191946,0.0,0.0
G2-M Checkpoint,-1.9010540043215245,0.0,0.0
E2F Targets,-1.9473312557920717,0.0,0.0
Myc Targets V1,-1.9869343446837995,0.0,0.0
