TF,regulon_score,p_act,p_rep,n_act,n_rep,mode
TP53,4.580362252481692,0.8791127137368542,2.6280749549688033e-05,617,149,repression-targets-down
E2F4,4.315930547700885,0.9999999999997403,4.8313605889789305e-05,120,24,repression-targets-down
FOXO3,4.009028030678933,9.794267682037314e-05,0.18687109760776127,135,27,activation-targets-up
RB1,3.633775083745934,0.5058079105014717,0.00023239400273043355,18,13,repression-targets-down
HNF1A,3.1305078238528026,0.0007404439281690853,0.2210556829761393,58,5,activation-targets-up
PPARA,3.085864662242044,0.000820607227614491,0.9731539326228374,130,39,activation-targets-up
IRF1,3.010459083984798,0.0009762047488919806,0.105264071723271,85,17,activation-targets-up
ZNF354C,2.9652207309848,0.0010833761461108808,1.0,19,0,activation-targets-up
E2F6,2.7948308927034513,0.8961256301028631,0.0016038697902549866,22,10,repression-targets-down
IRF9,2.6934802640714155,0.002025441648205,1.0,15,1,activation-targets-up
AHR,2.5199857666561876,0.0030200506963671725,0.5798927392226285,110,15,activation-targets-up
FOXO1,2.35155723578632,0.004450848012092794,0.0250718817396678,147,54,activation-targets-up
STAT2,2.0262185431823507,0.009414157434682838,1.0,35,1,activation-targets-up
PPARG,2.009325200492522,0.00978756816071876,0.9992339993078938,156,88,activation-targets-up
RORC,1.9434370235950296,0.01139102949545765,0.5255705695997931,6,1,activation-targets-up
NFKB1,1.8001365960691473,0.015843947837844877,0.6131409151352192,258,31,activation-targets-up
NR3C1,1.7789265396674454,0.01663694038199613,0.6888406909088491,143,44,activation-targets-up
CEBPA,1.7638000617226555,0.017226614625525088,0.8549307895173621,122,25,activation-targets-up
HOXB7,1.7400715719842783,0.01819400995555124,0.8932368120256673,14,3,activation-targets-up
TFAP2B,1.7261598656665562,0.018786251595094592,1.0,19,1,activation-targets-up
CIITA,1.6560598283976673,0.02207700579289119,0.07627321267120477,11,4,activation-targets-up
IRF7,1.6560598283976673,0.02207700579289119,0.5255705695997931,11,1,activation-targets-up
IRF5,1.6560598283976673,0.02207700579289119,0.5383248892980153,11,3,activation-targets-up
CEBPG,1.6495811247134298,0.022408814177535798,1.0,127,1,activation-targets-up
TCF4,1.6464655478744976,0.02257015035029849,0.8132675344387992,35,7,activation-targets-up
ELF5,1.6194530396560916,0.02401855966981675,1.0,5,1,activation-targets-up
NR2F6,1.6194530396560916,0.02401855966981675,0.7749328377831166,5,2,activation-targets-up
HOXB9,1.6194530396560916,0.02401855966981675,1.0,5,0,activation-targets-up
KDM5D,1.6194530396560916,0.02401855966981675,1.0,5,0,activation-targets-up
TRERF1,1.6194530396560916,0.02401855966981675,1.0,5,2,activation-targets-up
PEG3,1.6194530396560916,0.02401855966981675,1.0,5,0,activation-targets-up
SOX4,1.6178196840140058,0.024109062120582787,0.5255705695997931,16,1,activation-targets-up
HNF4G,1.5971450736639166,0.02528453239574092,1.0,8,0,activation-targets-up
CEBPB,1.5897680941475256,0.025717686968381892,0.960902539796102,289,15,activation-targets-up
YBX1,1.5866564056107566,0.40800100904913256,0.025902614037963567,52,18,repression-targets-down
KLF6,1.5391015830310182,0.028900038210824694,0.18062582126232318,41,8,activation-targets-up
MSX2,1.5361438097934712,0.1265536359107764,0.029097534393923378,19,12,repression-targets-down
TP73,1.5361438097934712,0.09083855958537584,0.029097534393923378,89,12,repression-targets-down
HNF1B,1.508802755667395,0.030988263794046254,0.5255705695997931,25,1,activation-targets-up
CDX2,1.4926560847979415,0.03216206425098272,0.8932368120256673,34,3,activation-targets-up
RARG,1.4583623366516014,0.03480468145926079,1.0,27,0,activation-targets-up
IRF8,1.4582589262355554,0.03481296983333677,0.8865507630521158,36,8,activation-targets-up
