symbol,logFC,padj,target_score,direction
CSRP1,-0.33735036849975586,6.570757324456406e-13,-12.182384572163565,activate
L1CAM,0.13426238298416138,8.24071884958414e-13,12.0840349025273,inhibit (senolytic-style)
RRM1,-0.3809184432029724,9.14914762574463e-13,-12.038619364805568,activate
ENPP2,-0.17265692353248596,1.2986290162685405e-12,-11.886514897578673,activate
DLGAP5,-0.3490487337112427,1.971010871224674e-12,-11.70531098033757,activate
TGOLN2,0.3141188621520996,2.0179475806830843e-12,11.695090119425055,inhibit (senolytic-style)
NUSAP1,-0.3725075125694275,2.0390046043321698e-12,-11.690581793528482,activate
CKS2,-0.2424296736717224,2.067890409612694e-12,-11.684472480936712,activate
KIF4A,-0.2787107229232788,2.1350748964619023e-12,-11.67058688572111,activate
NDC80,-0.19812092185020447,2.1527951100797583e-12,-11.66699730171206,activate
NASP,-0.3748950958251953,2.1621632398459953e-12,-11.665111520610239,activate
CTSK,0.6267178654670715,2.4761336025714096e-12,11.606225926172858,inhibit (senolytic-style)
BGN,-0.8764675855636597,2.5346051997581623e-12,-11.596089678507925,activate
KIF22,-0.24989420175552368,2.7856244429853046e-12,-11.555077435411457,activate
KIF20A,-0.48078370094299316,2.9530800045007787e-12,-11.529724787019836,activate
RAD51AP1,-0.12715619802474976,3.183679341583455e-12,-11.497070680630898,activate
SDC1,-0.32089048624038696,3.3165632173982316e-12,-11.479311720148946,activate
CIT,-0.2976224422454834,3.6895303713963264e-12,-11.43302891028839,activate
SEMA5A,0.4573312997817993,4.845165443361572e-12,11.314691388909962,inhibit (senolytic-style)
HNRNPA3,-0.3838767409324646,4.8494483856661745e-12,-11.314307658652519,activate
RCC1,-0.2201049029827118,4.87006748156084e-12,-11.312465020989379,activate
NCAPG2,-0.3406803011894226,4.969075771526193e-12,-11.303724380814376,activate
NIPAL3,0.6237832307815552,5.030544324308416e-12,11.298385020062659,inhibit (senolytic-style)
TCF12,-0.3237333297729492,5.209639064433793e-12,-11.283192364561259,activate
TUBA1B,-0.6405500769615173,5.320240621603341e-12,-11.27406872517274,activate
TMED4,0.10435450077056885,5.346969152119062e-12,11.271892321436056,inhibit (senolytic-style)
ACTL6A,-0.12830236554145813,6.31592976812156e-12,-11.199562707904851,activate
DNMT1,-0.43236297369003296,6.816061710751697e-12,-11.166466486240532,activate
PSAP,0.5288255214691162,6.985647134577125e-12,11.155793355626004,inhibit (senolytic-style)
SPAG5,-0.34964805841445923,7.208626925291273e-12,-11.142147450337161,activate
